Employee_ID,First_Name,Last_Name,Gender,Salary,Job_Title,Country,Birth_Date,Hire_Date
120158,Daniel,Pilgrim,M,36605,Sales Rep. III,AU,1968/07/14,1991/07/01
120159,Lynelle,Phoumirath,F,30765,Sales Rep. IV,AU,1968/02/24,1990/07/01
120160,Chuck,Segrave,M,27115,Sales Rep. I,AU,1958/09/09,1978/10/01
120161,Rosette,Martines,F,30785,Sales Rep. III,AU,1992/03/07,2010/10/01
120162,Randal,Scordia,M,27215,Sales Rep. I,AU,1992/09/05,2010/02/01
120163,Brett,Magrath,M,26735,Sales Rep. II,AU,1968/05/22,1995/01/01
120164,Ranj,Stamalis,F,27450,Sales Rep. II,AU,1963/11/26,1986/02/01
120165,Tadashi,Pretorius,M,27050,Sales Rep. I,AU,1988/03/19,2010/03/01
120166,Fadi,Nowd,M,30660,Sales Rep. IV,AU,1948/06/14,1978/01/01
120167,Kimiko,Tilley,F,25185,Sales Rep. I,AU,1958/05/04,1978/02/01
120168,Selina,Barcoe,F,25275,Sales Rep. I,AU,1988/03/24,2010/11/01
120169,Cos,Tannous,M,28135,Sales Rep. III,AU,1988/01/02,2010/05/01
120170,Alban,Kingston,M,28830,Sales Rep. III,AU,1978/02/25,1996/10/01
120171,Alena,Moody,F,26205,Sales Rep. II,AU,1988/07/19,2010/09/01
120172,Edwin,Comber,M,28345,Sales Rep. III,AU,1948/04/01,1978/01/01
120173,Hernani,Osborn,M,26715,Sales Rep. I,AU,1958/02/23,1981/06/01
120174,Doungkamol,Simms,F,26850,Sales Rep. I,AU,1948/01/10,1978/01/01
120175,Andrew,Conolly,M,25745,Sales Rep. I,AU,1992/08/18,2010/10/01
120176,Koavea,Pa,M,26095,Sales Rep. I,AU,1990/11/09,2010/11/01
120177,Franca,Kierce,F,28745,Sales Rep. III,AU,1983/04/05,2002/02/01
120178,Billy,Plested,M,26165,Sales Rep. II,AU,1958/11/23,1978/04/01
120179,Matsuoka,Wills,M,28510,Sales Rep. III,AU,1978/03/15,2008/01/01
120180,Vino,George,M,26970,Sales Rep. II,AU,1958/06/27,1982/12/01
120198,Meera,Body,F,28025,Sales Rep. III,AU,1992/01/21,2010/12/01
120261,Harry,Highpoint,M,243190,Chief Sales Officer,US,1973/02/21,1991/08/01
121018,Julienne,Magolan,F,27560,Sales Rep. II,US,1948/01/03,1978/01/01
121019,Scott,Desanctis,M,31320,Sales Rep. IV,US,1990/06/25,2008/06/01
121020,Cherda,Ridley,F,31750,Sales Rep. IV,US,1988/02/23,2006/05/01
121021,Priscilla,Farren,F,32985,Sales Rep. IV,US,1978/12/10,1998/03/01
121022,Robert,Stevens,M,32210,Sales Rep. IV,US,1983/10/28,2006/02/01
121023,Shawn,Fuller,M,26010,Sales Rep. I,US,1968/03/13,1993/05/01
121024,Michael,Westlund,M,26600,Sales Rep. II,US,1988/09/21,2008/05/01
121025,Barnaby,Cassey,M,28295,Sales Rep. II,US,1953/10/10,1979/09/01
121026,Terrill,Jaime,M,31515,Sales Rep. IV,US,1990/11/08,2010/04/01
121027,Allan,Rudder,M,26165,Sales Rep. II,US,1968/05/05,1993/12/01
121028,William,Smades,M,26585,Sales Rep. I,US,1992/04/27,2010/11/01
121029,Kuo-Chung,Mcelwee,M,27225,Sales Rep. I,US,1968/12/22,1993/12/01
121030,Jeryl,Areu,M,26745,Sales Rep. I,US,1983/11/12,2005/02/01
121031,Scott,Filan,M,28060,Sales Rep. III,US,1968/07/09,1989/08/01
121032,Nasim,Smith,M,31335,Sales Rep. IV,US,1992/02/24,2010/03/01
121033,Kristie,Snitzer,F,29775,Sales Rep. III,US,1990/11/06,2008/06/01
121034,John,Kirkman,M,27110,Sales Rep. II,US,1992/08/23,2011/01/01
121035,James,Blackley,M,26460,Sales Rep. II,US,1948/03/25,1978/01/01
121036,Teresa,Mesley,F,25965,Sales Rep. I,US,1992/07/18,2007/10/01
121037,Muthukumar,Miketa,M,28310,Sales Rep. III,US,1978/06/12,2006/03/01
121038,David,Anstey,M,25285,Sales Rep. I,US,1992/02/13,2010/08/01
121039,Donald,Washington,M,27460,Sales Rep. II,US,1958/06/03,1984/05/01
121040,Brienne,Darrohn,F,29525,Sales Rep. III,US,1963/07/06,1986/11/01
121041,Jaime,Wetherington,F,26120,Sales Rep. II,US,1948/02/04,1978/01/01
121042,Joseph,Robbin-Coker,M,28845,Sales Rep. III,US,1983/04/04,2003/11/01
121043,Sigrid,Kagarise,F,28225,Sales Rep. II,US,1973/11/09,1996/03/01
121044,Ray,Abbott,M,25660,Sales Rep. I,US,1958/12/11,1979/08/01
121045,Cascile,Hampton,F,28560,Sales Rep. II,US,1968/06/13,1998/01/01
121046,Roger,Mandzak,M,25845,Sales Rep. I,US,1988/09/07,2010/07/01
121047,Karen,Grzebien,F,25820,Sales Rep. I,US,1983/11/26,2010/09/01
121048,Lawrie,Clark,F,26560,Sales Rep. I,US,1988/06/24,2010/09/01
121049,Perrior,Bataineh,F,26930,Sales Rep. I,US,1990/02/14,2010/12/01
121050,Patricia,Capristo-Abramczyk,F,26080,Sales Rep. II,US,1990/01/12,2010/12/01
121051,Glorina,Myers,F,26025,Sales Rep. I,US,1953/05/02,1982/11/01
121052,Richard,Fay,M,26900,Sales Rep. II,US,1990/01/09,2010/11/01
121053,Tywanna,Mcdade,F,29955,Sales Rep. III,US,1948/09/23,1978/02/01
121054,Daniel,Pulliam,M,29805,Sales Rep. III,US,1958/11/12,1980/11/01
121055,Clement,Davis,M,30185,Sales Rep. III,US,1992/01/08,2010/08/01
121056,Stacey,Lyszyk,F,28325,Sales Rep. II,US,1988/07/05,2007/05/01
121057,Tachaun,Voron,M,25125,Sales Rep. I,US,1963/12/26,1984/12/01
121058,Del,Kohake,M,26270,Sales Rep. I,US,1978/07/12,2006/10/01
121059,Jacqulin,Carhide,F,27425,Sales Rep. II,US,1963/10/25,1985/04/01
121060,Elizabeth,Spofford,F,28800,Sales Rep. III,US,1948/06/08,1978/01/01
121061,Lauris,Hassam,M,29815,Sales Rep. III,US,1958/07/16,1988/07/01
121062,Debra,Armant,F,30305,Sales Rep. IV,US,1988/10/28,2010/08/01
121063,Regi,Kinol,M,35990,Sales Rep. II,US,1983/07/27,2009/08/01
121064,Asishana,Polky,M,25110,Sales Rep. I,US,1968/01/28,1995/09/01
121065,Corneille,Malta,F,28040,Sales Rep. III,US,1988/09/05,2010/04/01
121066,Ceresh,Norman,F,27250,Sales Rep. II,US,1948/08/23,1978/01/01
121067,Jeanilla,Macnair,F,31865,Sales Rep. IV,US,1990/01/18,2010/03/01
121068,Salaheloin,Osuba,M,27550,Sales Rep. II,US,1973/12/02,1996/09/01
121069,Jason,Lapsley,M,26195,Sales Rep. II,US,1973/03/19,1994/10/01
121070,Agnieszka,Holthouse,F,29385,Sales Rep. III,US,1988/11/04,2010/02/01
121071,John,Hoppmann,M,28625,Sales Rep. III,US,1963/09/10,1981/09/01
121072,Christer,North,M,26105,Sales Rep. I,US,1983/01/10,2008/09/01
121073,Donald,Court,M,27100,Sales Rep. I,US,1953/05/15,1978/01/01
121074,Eric,Michonski,M,26990,Sales Rep. I,US,1963/03/01,1992/10/01
121075,Kasha,Sugg,F,28395,Sales Rep. II,US,1948/12/23,1978/01/01
121076,Micah,Cobb,M,26685,Sales Rep. II,US,1968/10/09,1987/01/01
121077,Bryce,Smotherly,M,28585,Sales Rep. III,US,1988/09/05,2010/10/01
121078,Lionel,Wende,M,27485,Sales Rep. I,US,1953/05/01,1982/11/01
121079,Azmi,Mees,M,25770,Sales Rep. I,US,1978/06/03,2001/11/01
121080,Kumar,Chinnis,M,32235,Sales Rep. I,US,1963/01/24,1991/09/01
121081,Susie,Knudson,F,30235,Sales Rep. III,US,1953/03/28,1980/04/01
121082,Richard,Debank,M,28510,Sales Rep. III,US,1953/07/05,1981/10/01
121083,Tingmei,Sutton,F,27245,Sales Rep. I,US,1963/03/11,1983/03/01
121084,Tulsidas,Ould,M,22710,Sales Rep. I,US,1968/08/16,1995/01/01
121085,Rebecca,Huslage,M,32235,Sales Rep. IV,US,1990/11/12,2011/01/01
121086,John-Michael,Plybon,M,26820,Sales Rep. I,US,1948/12/16,1978/01/01
121087,Virtina,O'Suilleabhain,F,28325,Sales Rep. II,US,1978/12/07,2003/03/01
121088,Momolu,Kernitzki,M,27240,Sales Rep. I,US,1992/06/10,2011/01/01
121089,Gregory,Sauder,M,28095,Sales Rep. II,US,1958/08/21,1978/07/01
121090,Betty,Klibbe,F,26600,Sales Rep. I,US,1958/06/19,1984/02/01
121091,Ernest,Kadiri,M,27325,Sales Rep. II,US,1973/02/19,1993/01/01
121092,Gynell,Pritt,F,25680,Sales Rep. I,US,1978/03/08,2006/08/01
121093,Carl,Vasconcellos,M,27410,Sales Rep. I,US,1968/07/18,1998/01/01
121094,Larry,Tate,M,26555,Sales Rep. I,US,1958/01/07,1982/09/01
121095,Sara,Kratzke,F,28010,Sales Rep. II,US,1973/04/14,1995/07/01
121096,Robert,Newstead,M,26335,Sales Rep. I,US,1973/05/18,1999/05/01
121097,Willeta,Chernega,F,26830,Sales Rep. II,US,1978/10/23,1999/10/01
121098,Hal,Heatwole,M,27475,Sales Rep. I,US,1992/03/22,2010/05/01
121099,Royall,Mrvichin,M,32725,Sales Rep. IV,US,1983/03/19,2004/05/01
121100,Tzue-Ing,Cormell,M,28135,Sales Rep. II,US,1953/04/27,1980/04/01
121101,Burnetta,Buckner,F,25390,Sales Rep. I,US,1990/08/28,2010/11/01
121102,Rocheal,Flammia,F,27115,Sales Rep. I,US,1983/06/26,2010/06/01
121103,Brian,Farnsworth,M,27260,Sales Rep. I,US,1992/04/28,2010/09/01
121104,Leoma,Johnson,F,28315,Sales Rep. II,US,1968/11/12,1990/04/01
121105,Jessica,Savacool,F,29545,Sales Rep. III,US,1983/05/09,2007/01/01
121106,James,Hilburger,M,25880,Sales Rep. I,US,1973/02/02,2000/02/01
121107,Rose,Anger,F,31380,Sales Rep. IV,US,1990/04/24,2010/07/01
121108,Libby,Levi,F,25930,Sales Rep. I,US,1992/07/04,2010/11/01
121109,Harold,Boulus,M,26035,Sales Rep. I,US,1973/11/05,1994/05/01
121135,Tammy,Ruta,F,27010,Sales Rep. I,US,1958/06/07,1978/08/01
121136,Lesia,Galarneau,F,27460,Sales Rep. I,US,1978/07/15,2006/12/01
121137,Michael. R.,Boocks,M,27055,Sales Rep. I,US,1992/01/18,2010/04/01
121138,Hershell,Tolley,M,27265,Sales Rep. I,US,1953/02/28,1978/01/01
121139,Diosdado,Mckee,F,27700,Sales Rep. II,US,1963/08/19,1991/07/01
121140,Saunders,Briggi,M,26335,Sales Rep. I,US,1983/01/23,2005/04/01
121143,Louis,Favaron,M,95090,Senior Sales Manager,US,1973/11/26,2001/07/01
121144,Renee,Capachietti,F,83505,Sales Manager,US,1968/06/28,1995/11/01
121145,Dennis,Lansberry,M,84260,Sales Manager,US,1953/11/22,1980/04/01
