Customer_ID,Customer_Country,Customer_Gender,Personal_ID,Customer_Name,Customer_First_Name,Customer_Last_Name,Customer_Birth_Date,Customer_Address,Street_ID,Street_Number,Customer_Type_ID
2550,ZA,F,,Sanelisiwe Collier,Sanelisiwe,Collier,1992/07/07,Bryanston Drive 122,8010100009,122,2010
2618,ZA,M,,Theunis Brazier,Theunis,Brazier,1953/03/21,Arnold Road 2,8010100125,2,1030
2788,TR,M,,Serdar Yucel,Serdar,Yucel,1948/01/02,Fahrettin Kerim Gokay Cad. No. 30,9050100001,30,1040
2806,ZA,F,,Raedene Van Den Berg,Raedene,Van Den Berg,1992/09/16,Quinn Street 11,8010100089,11,1030
3959,ZA,F,,Rita Lotz,Rita,Lotz,1968/02/24,Moerbei Avenue 120,8010100151,120,2030
11171,CA,M,,Bill Cuddy,Bill,Cuddy,1990/10/16,69 chemin Martin,2600100032,69,2010
12386,IL,M,,Avinoam Zweig,Avinoam,Zweig,1963/05/12,Mivtza Kadesh St 16,4750100001,16,3010
14104,IL,M,,Avinoam Zweig,Avinoam,Zweig,1968/10/10,Mivtza Kadesh St 25,4750100001,25,1030
14703,IL,M,,Eyal Bloch,Eyal,Bloch,1973/09/24,Mivtza Boulevard 17,4750100002,17,1040
17023,CA,F,,Susan Krasowski,Susan,Krasowski,1963/07/09,837 rue Lajeunesse,2600100021,837,2030
19444,IL,M,,Avinoam Zweig,Avinoam,Zweig,1963/09/28,Mivtza Kadesh St 61,4750100001,61,1040
19873,IL,M,,Avinoam Tuvia,Avinoam,Tuvia,1988/06/14,Mivtza Kadesh St 18,4750100001,18,2030
26148,CA,M,,Andreas Rennie,Andreas,Rennie,1938/07/18,41 Main St,2600100010,41,1030
46966,CA,F,,Lauren Krasowski,Lauren,Krasowski,1990/10/24,17 boul Wallberg,2600100011,17,1040
54655,CA,F,,Lauren Marx,Lauren,Marx,1973/08/18,512 Gregoire Dr,2600100013,512,3010
70046,CA,M,,Tommy Mcdonald,Tommy,Mcdonald,1963/01/20,818 rue Davis,2600100017,818,1020
70059,CA,M,,Colin Byarley,Colin,Byarley,1938/01/20,580 Howe St,2600100047,580,1030
70079,CA,F,,Lera Knott,Lera,Knott,1990/07/11,304 Grand Lake Rd,2600100039,304,1030
70100,CA,F,,Wilma Yeargan,Wilma,Yeargan,1988/06/23,614 Route 199,2600100015,614,1030
70108,CA,M,,Patrick Leach,Patrick,Leach,1943/04/14,1001 Burrard St,2600100046,1001,1020
70165,CA,F,,Portia Reynoso,Portia,Reynoso,1968/02/11,873 rue Bosse,2600100006,873,1020
70187,CA,F,,Soberina Berent,Soberina,Berent,1990/09/27,1835 boul Laure,2600100035,1835,1030
70201,CA,F,,Angel Borwick,Angel,Borwick,1973/12/19,319 122 Ave NW,2600100012,319,2010
70210,CA,M,,Alex Santinello,Alex,Santinello,1990/04/22,40 Route 199,2600100015,40,1030
70221,CA,M,,Kenan Talarr,Kenan,Talarr,1968/02/10,9 South Service Rd,2600100019,9,1040
